GeneratorName=FCCS 3.0,GeneratorVersion=3.0.0,DateCreated=10/29/2012
fuelbed_number,site_name,site_description,cover_type,ecoregion,overstory_loading,midstory_loading,understory_loading,snags_c1_foliage_loading,snags_c1wo_foliage_loading,snags_c1_wood_loading,snags_c2_loading,snags_c3_loading,shrubs_primary_loading,shrubs_secondary_loading,shrubs_primary_perc_live,shrubs_secondary_perc_live,nw_primary_loading,nw_secondary_loading,nw_primary_perc_live,nw_secondary_perc_live,w_sound_0_quarter_loading,w_sound_quarter_1_loading,w_sound_1_3_loading,w_sound_3_9_loading,w_sound_9_20_loading,w_sound_gt20_loading,w_rotten_3_9_loading,w_rotten_9_20_loading,w_rotten_gt20_loading,w_stump_sound_loading,w_stump_rotten_loading,w_stump_lightered_loading,litter_depth,litter_loading,lichen_depth,lichen_loading,moss_depth,moss_loading,basal_accum_loading,squirrel_midden_loading,ladderfuels_loading,duff_lower_depth,duff_lower_loading,duff_upper_depth,duff_upper_loading,Total_aboveground_fuel_loading,efg_natural,efg_activity
33.000000,,,209,310.000000,0.359370,1.617165,0.000000,0.000000,0.020159,0.000000,0.008577,0.006126,0.828233,0.000000,80.000000,0.000000,0.230000,0.000000,60.000000,0.000000,0.200000,0.200000,0.200000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001058,0.000901,0.000000,1.400000,1.960000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,1.080000,0.200000,0.640000,9.144558,7,7
34.000000,,,118,310.000000,0.905612,0.000000,3.429533,0.050975,0.215984,8.503163,5.073029,4.227524,2.223051,0.000000,80.000000,0.000000,0.200000,0.000000,70.000000,0.000000,0.100000,1.500000,4.000000,2.000000,3.000000,5.000000,1.800000,1.700000,0.000000,0.048302,0.029405,0.000000,0.600000,1.332000,0.000000,0.000000,0.000000,0.000000,0.000592,0.000000,3.000000,0.500000,6.750000,0.500000,3.000000,140.750870,8,1
36.000000,,,11,260.000000,1.208790,0.000000,0.000000,0.000000,0.754309,0.000000,0.306305,0.306305,3.220902,0.000000,70.000000,0.000000,0.400000,0.000000,50.000000,0.000000,0.500000,0.500000,1.000000,1.000000,1.000000,0.200000,0.200000,0.200000,0.200000,0.056573,0.011486,0.000000,0.500000,0.537500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,2.700000,0.500000,1.600000,48.433250,9,9
37.000000,,,144,260.000000,7.400146,1.043610,0.178535,0.042664,0.000000,3.420409,6.126106,3.675663,0.491100,2.604000,85.000000,90.000000,0.300000,0.010000,50.000000,60.000000,0.100000,1.000000,1.500000,1.200000,2.500000,0.000000,0.600000,2.500000,0.000000,0.000000,0.000000,0.000000,0.300000,0.759645,0.000000,0.000000,0.300000,0.002250,0.000455,0.000000,3.000000,1.000000,15.300000,1.000000,6.800000,204.372940,8,3
38.000000,,,141,240.000000,4.829932,10.161677,3.810628,0.000000,0.000000,0.000000,13.676684,0.000000,1.245000,0.021900,95.000000,95.000000,0.200000,0.000000,80.000000,0.000000,1.000000,2.000000,2.000000,3.000000,3.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.100000,1.800000,0.700000,5.600000,204.226227,8,1
39.000000,,,150,260.000000,4.657436,12.450875,2.593344,0.011955,0.803499,0.795216,0.459458,0.459458,0.317759,0.000000,60.000000,0.000000,0.100000,0.000000,50.000000,0.000000,0.400000,2.100000,1.100000,2.600000,1.500000,0.000000,0.700000,0.400000,0.000000,0.000000,0.125074,0.000000,0.800000,1.920640,0.000000,0.000000,0.300000,0.004500,0.000000,0.000000,3.000000,0.400000,5.760000,0.400000,2.560000,384.411285,8,4
40.000000,,,223,310.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.440000,0.000000,80.000000,0.000000,0.080000,0.000000,70.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.520000,7,7
41.000000,,,1,240.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.550000,0.100000,90.000000,60.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.115000,0.000000,0.000000,0.100000,0.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.825000,13,13
42.000000,,,124,240.000000,6.679839,0.000000,0.608479,0.012489,9.285152,0.494001,0.377457,0.269612,0.010000,0.010950,2.000000,90.000000,0.300000,0.100000,90.000000,90.000000,0.300000,0.700000,1.800000,9.000000,0.600000,0.000000,5.000000,0.000000,0.000000,0.071089,0.010006,0.000000,0.500000,0.690000,0.000000,0.000000,1.000000,0.007500,0.000000,0.000000,0.000000,1.000000,9.900001,0.300000,1.320000,104.111420,9,9
43.000000,,,148,310.000000,1.798156,0.000000,1.814361,0.000000,1.508619,0.000000,0.520719,0.459458,0.953188,0.000000,95.000000,0.000000,0.100000,0.400000,85.000000,85.000000,0.100000,0.400000,0.800000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050287,0.000000,0.000000,0.300000,0.357000,0.000000,0.000000,1.000000,0.015000,0.000000,0.000000,3.000000,0.200000,1.440000,0.200000,0.640000,58.387367,9,9
